# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: /home/vagrant/shared/L00_TEMPLATE/L00_TEMPLATE.csv
# Generated on: Fri Jun 26 10:36:48 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
SW[0],Input,PIN_C10,7,B7_N0,,,,,,
SW[1],Input,PIN_C11,7,B7_N0,,,,,,
SW[2],Input,PIN_D12,7,B7_N0,,,,,,
SW[3],Input,PIN_C12,7,B7_N0,,,,,,
SW[4],Input,PIN_A12,7,B7_N0,,,,,,
SW[5],Input,PIN_B12,7,B7_N0,,,,,,
SW[6],Input,PIN_A13,7,B7_N0,,,,,,
SW[7],Input,PIN_A14,7,B7_N0,,,,,,
SW[8],Input,PIN_B14,7,B7_N0,,,,,,
SW[9],Input,PIN_F15,7,B7_N0,,,,,,
